Cash Giraffe,ECナビ (Zucks),0,3400
Cash Giraffe,ハピタス (Zucks),0,3060
Cash Giraffe,げん玉,0,3000
Cash Mafia,ECナビ (Zucks),0,2500
Cash Mafia,モッピー (Zucks),0,2449
Cash Mafia,げん玉 (Zucks),0,2400
Cash Mafia,ハピタス (Zucks),0,2249
Color Sing,ワラウ,800,800
Color Sing,COINCOME,800,800
Color Sing,モッピー,760,760
Color Sing,Powl,700,700
Color Sing,アメフリ,656,656
Count Earn,COINCOME,0,1182
DORAKEN,げん玉 (GF Rewards),588.4,588.4
DORAKEN,アメフリ,460,460
DORAKEN,ちょびリッチ (GF Rewards),455,455
DORAKEN,GMOポイ活 (GF Rewards),450,450
DORAKEN,ワラウ (GF Rewards),336,336
Dice Dreams,Powl (AppDriver),25449.6,29880
Dice Dreams,モッピー (AppDriver),25149,29528
Dice Dreams,ハピタス (AppDriver),22659,26602
Dice Dreams,げん玉 (AppDriver),21757.8,25546.4
Dice Dreams,ちょびリッチ (AppDriver),21563,25319.5
Domino Dreams,モッピー (myChips),25835,7042
Domino Dreams,Powl (AppDriver),0,22958.4
Empires Puzzles,COINCOME,3340,0
Freecash,モッピー (GF Rewards),34020,0
Freecash,げん玉 (GF Rewards),33657,10800
Freecash,ECナビ (Zucks),31950,19675
Gold Miner,ECナビ (Zucks),0,2500
Gold Miner,モッピー (Zucks),0,2449
Gold Miner,Powl (AppDriver),0,2400
Gold Miner,げん玉 (Zucks),0,2400
IRIAM,げん玉 (SmaAD),972,972
IRIAM,モッピー,228,228
IRIAM,COINCOME (SKYFLAG),204,204
IRIAM,Powl,200,200
IRIAM,ワラウ (SKYFLAG),197,197
Idle Bank Tycoon,モッピー,170,0
Knife Ninja,ECナビ (Zucks),0,2500
Knife Ninja,モッピー (Zucks),0,2449
Knife Ninja,Powl (AppDriver),0,2400
Knife Ninja,げん玉 (Zucks),0,2400
MONEY CASH,モッピー,0,2150
MONEY CASH,げん玉,730,1300
MONEY CASH,ハピタス (myChips),0,1294
MONEY CASH,Powl (myChips),0,1293.6
Match Ninja,ECナビ (Zucks),0,2495
Match Ninja,モッピー (Zucks),0,2444
Match Ninja,Powl (AppDriver),0,2395.2
Match Ninja,げん玉 (Zucks),0,2395.2
Mirrativ,Powl (AppDriver),0,1497.6
Mirrativ,モッピー,807,807
Mirrativ,COINCOME (SKYFLAG),723,723
